Split,Classifier,Parameters,Threshold,Accuracy,Precision,Recall,F1,AUC_ROC
1,KNN,"{'n_neighbors': 10, 'weights': 'distance'}",0.1,0.7134664335878799,0.35184049079754603,0.1369225259639489,0.19712984446163104,0.5874631450391037
1,KNN,"{'n_neighbors': 10, 'weights': 'distance'}",0.2,0.6772472168552764,0.3353780095077442,0.2610719828100752,0.2935964559001208,0.5874631450391037
1,KNN,"{'n_neighbors': 10, 'weights': 'distance'}",0.3,0.6376544913668845,0.32426906563075036,0.3786558433806852,0.3493584448482846,0.5874631450391037
1,KNN,"{'n_neighbors': 10, 'weights': 'distance'}",0.5,0.5476431441101604,0.3045451757345274,0.5926942819625164,0.40235008103727715,0.5874631450391037
1,DT,"{'max_depth': 5, 'min_samples_split': 5}",0.01,0.7399638114515288,0.34355828220858897,0.01336994150650591,0.0257382511777548,0.6425690816358354
1,DT,"{'max_depth': 5, 'min_samples_split': 5}",0.02,0.7367129757414053,0.34049079754601225,0.026501134057538497,0.04917488093919592,0.6425690816358354
1,DT,"{'max_depth': 5, 'min_samples_split': 5}",0.05,0.7291685834330052,0.36073619631901843,0.07019219290915603,0.11751773758369143,0.6425690816358354
1,DT,"{'max_depth': 5, 'min_samples_split': 5}",0.1,0.7162879136381759,0.36595092024539877,0.14241375193983527,0.20503566211222823,0.6425690816358354
1,DT,"{'max_depth': 5, 'min_samples_split': 5}",0.2,0.6915999631980863,0.3712620763686551,0.2890056106004536,0.32501006846556585,0.6425690816358354
1,DT,"{'max_depth': 5, 'min_samples_split': 5}",0.3,0.6649492440273561,0.3697607851155183,0.43177748597349885,0.3983699542926373,0.6425690816358354
1,DT,"{'max_depth': 5, 'min_samples_split': 5}",0.5,0.5805195203483915,0.3374225602649819,0.6566790020293661,0.4457860615883306,0.6425690816358354
1,DT,"{'max_depth': 5, 'min_samples_split': 10}",0.01,0.7400251479743614,0.34662576687116564,0.01348931598424257,0.025968056991841893,0.6425711582492224
1,DT,"{'max_depth': 5, 'min_samples_split': 10}",0.02,0.7372036679240653,0.35276073619631904,0.027456129879431777,0.05094694872078857,0.6425711582492224
1,DT,"{'max_depth': 5, 'min_samples_split': 10}",0.05,0.7289232373416751,0.35828220858895704,0.06971469499820938,0.11671829719196562,0.6425711582492224
1,DT,"{'max_depth': 5, 'min_samples_split': 10}",0.1,0.7157972214555157,0.36349693251533743,0.14145875611794198,0.2036607373034287,0.6425711582492224
1,DT,"{'max_depth': 5, 'min_samples_split': 10}",0.2,0.6913546171067562,0.37064867351633185,0.288528112689507,0.3244730836353873,0.6425711582492224
1,DT,"{'max_depth': 5, 'min_samples_split': 10}",0.3,0.6650719170730212,0.369965242281742,0.4320162349289722,0.3985902307395782,0.6425711582492224
